,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
PUERTO RICO,malaria,mujer embarazada,2024-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2024-01-01,0,9,0,4,0,13,13
SENA,malaria,mujer embarazada,2024-01-01,0,3,0,1,0,4,4
INGAVI (HUMAITA),malaria,mujer embarazada,2024-02-01,0,1,0,0,0,1,1
REYES,malaria,mujer embarazada,2024-02-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2024-02-01,0,4,0,0,0,4,4
SAN LORENZO(PND),malaria,mujer embarazada,2024-02-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2024-02-01,0,1,0,0,0,1,1
IXIAMAS,malaria,mujer embarazada,2024-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2024-03-01,0,3,0,1,0,4,4
SANTA ROSA,malaria,mujer embarazada,2024-03-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2024-03-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,mujer embarazada,2024-04-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2024-04-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2024-04-01,0,5,0,1,0,6,6
SANTA ROSA,malaria,mujer embarazada,2024-04-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2024-04-01,0,1,0,1,0,2,2
COCHABAMBA,malaria,mujer embarazada,2024-05-01,11,0,4,0,15,0,15
GUAYARAMERIN,malaria,mujer embarazada,2024-05-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2024-05-01,0,5,0,1,0,6,6
SAN LORENZO(PND),malaria,mujer embarazada,2024-05-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2024-05-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,mujer embarazada,2024-06-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2024-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2024-06-01,0,3,0,2,0,5,5
SENA,malaria,mujer embarazada,2024-06-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2024-07-01,0,5,0,0,0,5,5
RIBERALTA,malaria,mujer embarazada,2024-07-01,0,3,0,0,0,3,3
MACHARETI,malaria,mujer embarazada,2024-08-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2024-08-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2024-08-01,0,5,0,4,0,9,9
SANTA ROSA,malaria,mujer embarazada,2024-08-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2024-08-01,0,1,0,1,0,2,2
INGAVI (HUMAITA),malaria,mujer embarazada,2024-09-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2024-09-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2024-09-01,0,13,0,2,0,15,15
SAN LORENZO(PND),malaria,mujer embarazada,2024-09-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2024-09-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2024-10-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),malaria,mujer embarazada,2024-10-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2024-10-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2024-10-01,0,13,0,2,0,15,15
SAN LORENZO(PND),malaria,mujer embarazada,2024-10-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2024-11-01,0,0,0,1,0,1,1
INGAVI (HUMAITA),malaria,mujer embarazada,2024-11-01,0,2,0,0,0,2,2
IXIAMAS,malaria,mujer embarazada,2024-11-01,0,1,0,1,0,2,2
PUERTO RICO,malaria,mujer embarazada,2024-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2024-11-01,0,7,0,1,0,8,8
GUAYARAMERIN,malaria,mujer embarazada,2024-12-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2024-12-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2024-12-01,0,0,0,1,0,1,1
PORVENIR,malaria,mujer embarazada,2024-12-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2024-12-01,0,7,0,0,0,7,7
SENA,malaria,mujer embarazada,2024-12-01,0,1,0,0,0,1,1
