,group,variable,month,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,malaria,tratamientos especificos para malaria grave,2024-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO GONZALO MORENO,malaria,tratamientos especificos para malaria grave,2024-01-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
PUERTO GONZALO MORENO,malaria,tratamientos especificos para malaria grave,2024-02-01,0.0,0.0,3.0,2.0,3.0,2.0,5.0
VILLA NUEVA (LOMA ALTA),malaria,tratamientos especificos para malaria grave,2024-02-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
COBIJA,malaria,tratamientos especificos para malaria grave,2024-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,tratamientos especificos para malaria grave,2024-03-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
PUERTO GONZALO MORENO,malaria,tratamientos especificos para malaria grave,2024-04-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
RURRENABAQUE,malaria,tratamientos especificos para malaria grave,2024-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA NUEVA (LOMA ALTA),malaria,tratamientos especificos para malaria grave,2024-04-01,7.0,2.0,0.0,0.0,7.0,2.0,9.0
BELLA FLOR,malaria,tratamientos especificos para malaria grave,2024-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
IXIAMAS,malaria,tratamientos especificos para malaria grave,2024-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO GONZALO MORENO,malaria,tratamientos especificos para malaria grave,2024-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA PAZ,malaria,tratamientos especificos para malaria grave,2024-08-01,33.0,42.0,27.0,28.0,60.0,70.0,130.0
MONTERO,malaria,tratamientos especificos para malaria grave,2024-10-01,17.0,11.0,23.0,19.0,40.0,30.0,70.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2024-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,malaria,tratamientos especificos para malaria grave,2024-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
