,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 5 anos y mas,2024-01-01,24,13,0,0,24,13,37
CARANAVI,malaria,de 5 anos y mas,2024-01-01,2,0,0,0,2,0,2
COBIJA,malaria,de 5 anos y mas,2024-01-01,5,6,0,0,5,6,11
CONCEPCION,malaria,de 5 anos y mas,2024-01-01,36,12,0,0,36,12,48
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2024-01-01,3,2,3,6,6,8,14
FILADELFIA,malaria,de 5 anos y mas,2024-01-01,2,3,0,0,2,3,5
GUAYARAMERIN,malaria,de 5 anos y mas,2024-01-01,38,30,3,0,41,30,71
INGAVI (HUMAITA),malaria,de 5 anos y mas,2024-01-01,30,30,1,0,31,30,61
IXIAMAS,malaria,de 5 anos y mas,2024-01-01,29,20,0,0,29,20,49
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2024-01-01,4,2,0,0,4,2,6
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2024-01-01,6,2,0,0,6,2,8
PORCO,malaria,de 5 anos y mas,2024-01-01,19,11,14,5,33,16,49
PORVENIR,malaria,de 5 anos y mas,2024-01-01,1,5,0,0,1,5,6
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2024-01-01,4,3,1,1,5,4,9
PUERTO RICO,malaria,de 5 anos y mas,2024-01-01,58,21,0,1,58,22,80
REYES,malaria,de 5 anos y mas,2024-01-01,3,5,0,0,3,5,8
RIBERALTA,malaria,de 5 anos y mas,2024-01-01,406,272,16,6,422,278,700
SAN LORENZO(PND),malaria,de 5 anos y mas,2024-01-01,29,30,1,1,30,31,61
SAN PEDRO(PND),malaria,de 5 anos y mas,2024-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,de 5 anos y mas,2024-01-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,de 5 anos y mas,2024-01-01,21,17,0,0,21,17,38
SENA,malaria,de 5 anos y mas,2024-01-01,73,54,8,5,81,59,140
