,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-01-01,2,1,0,0,2,1,3
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-01-01,0,7,0,0,0,7,7
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-01-01,7,2,0,0,7,2,9
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2024-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2024-01-01,2,0,0,0,2,0,2
PORCO,malaria,de 1 a menores de 5 anos,2024-01-01,19,15,55,49,74,64,138
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-01-01,0,2,0,0,0,2,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-01-01,6,10,0,0,6,10,16
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-01-01,3,2,0,0,3,2,5
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-01-01,1,1,0,0,1,1,2
SENA,malaria,de 1 a menores de 5 anos,2024-01-01,1,6,1,0,2,6,8
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-02-01,0,1,0,0,0,1,1
COBIJA,malaria,de 1 a menores de 5 anos,2024-02-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-02-01,0,3,0,0,0,3,3
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-02-01,1,0,1,1,2,1,3
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-02-01,15,7,5,1,20,8,28
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-02-01,1,2,0,0,1,2,3
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-02-01,2,0,0,0,2,0,2
SENA,malaria,de 1 a menores de 5 anos,2024-02-01,5,8,0,0,5,8,13
