,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,2,0,0,2
BAURES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,2,0,0,3
CABEZAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
CAMIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,0,1,1
CLIZA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
COBIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,2,0,0,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,7,6,0,0,13
COLQUECHACA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,0,5,5
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,22,16,0,0,38
FILADELFIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,2,0,0,0,2
LA GUARDIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,5,0,4,9,18
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,7,5,2,0,14
MONTEAGUDO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,2,5,2,2,11
MOROCHATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,1,0,1
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,2,4,0,0,6
PAILON,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,3,3,6
PALOS BLANCOS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
POCONA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,1,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,3,2,1,1,7
PUCARANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,2,0,2
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,0,1,1
RIBERALTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,1,2
RURRENABAQUE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,0,1,0,1
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,2,2,1,0,5
SAN BORJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
SAN JULIAN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,3,3,0,1,7
SAN MATIAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,42,46,0,1,89
SHINAOTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
SIPE SIPE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
SUCRE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,1,1,0,0,2
TIQUIPAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2019-01-01,2,0,0,0,2
