,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,0,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,2,0,4
AIQUILE,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,5,5,12
ALTO BENI,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,2,0,0,3
ANCORAIMES,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,3,0,1,4
APOLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,1,1,3
ARANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
ARBIETO,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,0,0,1
ARQUE,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,2,1,0,0,3
AUCAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,0,2,3
AYATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,0,1,3
BATALLAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,2,1,1,0,4
BERMEJO,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,0,0,1
BOYUIBE,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,0,1,1,2
BUENA VISTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,2,0,0,3
CABEZAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,4,0,0,5
"CAIZA ""D""",vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,0,0,1
CALAMARCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,0,0,2
CAMARGO,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,3,1,0,0,4
CAPINOTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,1,3,5
CARACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
CARANAVI,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,1,2,5
CHALLAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,3,0,0,4
CHAYANTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,2,0,0,2
CHIMORE,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,3,6,0,1,10
CHIPAYA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
CHUMA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,0,1,0,1
CLIZA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,5,2,1,0,8
COBIJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,7,1,1,2,11
COCHABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,113,117,3,1,234
COLOMI,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,2,2,0,0,4
COLPA BELGICA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
COLQUECHACA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,0,0,5,6
COLQUIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,3,3,8
COMARAPA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,1,1,0,0,2
CONCEPCION,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,2,0,3
CORIPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,0,2,0,2
COROICO,vacunacion en ninos de 4 anos,srp 2da. dosis,2019-01-01,0,1,0,1,2
