,group,variable,month,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS FUERA,PENTAVALENTE 5TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,10,4,6,9,29
ACHOCALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,6,0,3,21
AIQUILE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,6,14,13,37
ALALAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,0,1,1,4
ALCALA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,4,0,0,6
ALTO BENI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,7,0,0,19
ANCORAIMES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,3,3,7,17
ANDAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,1,0,6
ANTEQUERA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,2,0,0,3
ANZALDO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,1,0,1
APOLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,8,5,5,6,24
ARAMPAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,1,1,2
ARANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,2,0,4,10
ARBIETO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,13,13,3,2,31
ARQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,6,5,2,13
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,21,27,1,0,49
ATOCHA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,10,1,2,18
AUCAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,2,0,2,6
AYATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,4,0,1,6
AYO AYO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,3,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,8,10,7,30
AZURDUY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,3,4,0,11
BATALLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,6,1,0,13
BAURES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,2,0,0,8
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,0,1
BELEN DE URMIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,1,1,2
BELLA FLOR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,4,2,7
BERMEJO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,18,12,1,3,34
BETANZOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,13,18,5,3,39
BOLIVAR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,1,1,3,7
BOLPEBRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,1,0,2
BOYUIBE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,1,3,1,8
BUENA VISTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,10,9,0,1,20
CABEZAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,12,6,1,23
CAIROMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,1,1,7
"CAIZA ""D""",vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,5,1,1,11
CAJUATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,7,1,0,15
