,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,3,0,0,3
BELLA FLOR,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,0,1,1
CABEZAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,0,1,1
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,0,1,1
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,0,1,0,2
CHAYANTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
CLIZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,2,0,0,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,7,6,0,1,14
CORIPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
COROICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,21,24,4,4,53
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,1,0,0,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
HUACARETA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,3,1,0,0,4
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,5,0,0,0,5
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,25,20,7,9,61
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,4,2,1,8
MOROCHATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,5,8,0,1,14
PALCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,0,1,1
PALOS BLANCOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,2,2,1,0,5
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,7,6,1,0,14
PUCARANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,2,0,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,1,0,1,2
RURRENABAQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,0,0,2,0,2
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,2,2,2,3,9
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
SAN JULIAN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,0,0,1,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,177,186,4,3,370
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2019-01-01,1,1,0,0,2
