,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,2,16,2,16,18
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,12,12,12,12,24
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,14,29,14,29,43
CABEZAS,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,5,16,5,16,21
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,7,41,7,41,48
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,4,0,4,4
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,4,14,4,14,18
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,7,1,7,8
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,3,2,3,2,5
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,6,0,6,6
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,35,54,35,54,89
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,237,645,237,645,882
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,7,12,7,12,19
COLOMI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,2,0,2,2
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,6,30,6,30,36
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,4,0,4,4
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,264,651,264,651,915
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,29,1,29,30
EL VILLAR,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,2,1,2,3
ENTRE RIOS CBBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,29,0,29,29
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,10,1,10,11
ICLA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,0,1,0,1
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,231,690,231,690,921
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,5,4,5,4,9
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,3,1,3,4
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,3,0,3,3
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,2,2,2,2,4
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,20,44,20,44,64
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,102,225,102,225,327
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,137,287,137,287,424
PADILLA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,10,20,10,20,30
