,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,0,1,0,0,0,1,1
CAMARGO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,1,0,0,0,1,0,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,0,1,0,1,0,2,2
SAIPINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,1,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,0,1,0,0,0,1,1
WARNES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-01-01,0,0,1,0,1,0,1
CHARAGUA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-02-01,1,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-02-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-02-01,0,0,0,0,0,0,0
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-02-01,1,0,1,0,2,0,2
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-03-01,0,0,0,1,0,1,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-03-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-03-01,0,0,0,1,0,1,1
