,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,1,0,0,0,1,0,1
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,9,11,0,0,9,11,20
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,0,1,0,0,0,1,1
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,0,1,0,0,0,1,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,0,1,0,0,0,1,1
PORTACHUELO,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,1,1,0,0,1,1,2
TARIJA,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,0,1,0,0,0,1,1
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,1,1,1,1,2,2,4
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,0,1,0,0,0,1,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2011-01-01,1,0,0,0,1,0,1
AIQUILE,chagas,tratamientos rn a menores de 1 ano de edad,2011-02-01,1,0,0,0,1,0,1
BERMEJO,chagas,tratamientos rn a menores de 1 ano de edad,2011-02-01,1,0,0,0,1,0,1
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2011-02-01,1,0,0,0,1,0,1
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2011-02-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2011-02-01,0,0,1,1,1,1,2
