,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2011-01-01,52,62,0,0,52,62,114
BERMEJO,chagas,tratamientos de 15 anos y mas,2011-01-01,1,1,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2011-01-01,0,0,0,3,0,3,3
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2011-01-01,38,88,52,98,90,186,276
COTAGAITA,chagas,tratamientos de 15 anos y mas,2011-01-01,0,3,2,3,2,6,8
EL TORNO,chagas,tratamientos de 15 anos y mas,2011-01-01,0,0,2,1,2,1,3
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2011-01-01,1,2,0,0,1,2,3
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2011-01-01,0,7,3,2,3,9,12
OMEREQUE,chagas,tratamientos de 15 anos y mas,2011-01-01,0,0,1,0,1,0,1
PADILLA,chagas,tratamientos de 15 anos y mas,2011-01-01,0,2,0,0,0,2,2
PUNATA,chagas,tratamientos de 15 anos y mas,2011-01-01,15,21,1,3,16,24,40
SAN PEDRO DE BUENA VISTA,chagas,tratamientos de 15 anos y mas,2011-01-01,2,5,0,0,2,5,7
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2011-01-01,2,1,0,0,2,1,3
SUCRE,chagas,tratamientos de 15 anos y mas,2011-01-01,9,5,0,0,9,5,14
TARABUCO,chagas,tratamientos de 15 anos y mas,2011-01-01,0,0,1,2,1,2,3
TUPIZA,chagas,tratamientos de 15 anos y mas,2011-01-01,24,27,33,43,57,70,127
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2011-01-01,0,0,5,5,5,5,10
AIQUILE,chagas,tratamientos de 15 anos y mas,2011-02-01,5,7,0,2,5,9,14
BERMEJO,chagas,tratamientos de 15 anos y mas,2011-02-01,0,3,0,0,0,3,3
