,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,4,6,0,0,4,6,10
CAMARGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,0,2,1,0,1,2,3
CARAPARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,2,4,0,1,2,5,7
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,0,0,2,1,2,1,3
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,0,0,1,0,1,0,1
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,1,0,0,0,1,0,1
PUNATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,5,6,1,0,6,6,12
SACABA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,1,1,0,0,1,1,2
SAN PEDRO DE BUENA VISTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,3,1,0,0,3,1,4
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,0,0,0,0,0,0,0
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,0,1,4,4,4,5,9
TOTORA(CBBA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,0,3,0,0,0,3,3
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2011-01-01,1,0,0,0,1,0,1
