,group,variable,month,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos en mujeres post parto,2011-01-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos en mujeres post parto,2011-01-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-01-01,0,0,0,0,0,0,0
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2011-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-02-01,0,0,0,0,0,0,0
SUCRE,chagas,tratamientos en mujeres post parto,2011-02-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos en mujeres post parto,2011-03-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-03-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-04-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-05-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-06-01,0,0,0,0,0,0,0
TARABUCO,chagas,tratamientos en mujeres post parto,2011-06-01,0,2,0,0,0,2,2
AIQUILE,chagas,tratamientos en mujeres post parto,2011-07-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2011-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-07-01,0,0,0,0,0,0,0
TARABUCO,chagas,tratamientos en mujeres post parto,2011-07-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos en mujeres post parto,2011-08-01,0,1,0,1,0,2,2
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2011-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-08-01,0,0,0,0,0,0,0
SUCRE,chagas,tratamientos en mujeres post parto,2011-08-01,0,1,0,0,0,1,1
TARABUCO,chagas,tratamientos en mujeres post parto,2011-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-09-01,0,0,0,0,0,0,0
AIQUILE,chagas,tratamientos en mujeres post parto,2011-10-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-10-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-11-01,0,0,0,0,0,0,0
TIQUIPAYA,chagas,tratamientos en mujeres post parto,2011-11-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos en mujeres post parto,2011-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos en mujeres post parto,2011-12-01,0,0,0,0,0,0,0
