municipality,group,variable,month,9. Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,465,465
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,217,217
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
APOLO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,120,120
ARANI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,248,248
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,403,403
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
AYATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,899,899
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,527,527
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
BAURES,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,211,211
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,217,217
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,248,248
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,527,527
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,61,61
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,166,166
CHACARILLA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,30,30
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,431,431
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
CHARAÑA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,281,281
CHIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,27,27
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
CHUA COCANI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,216,216
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,46,46
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,309,309
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1760,1760
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,558,558
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,11283,11283
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,279,279
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2024-01-01,434,434
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,465,465
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,183,183
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,30,30
COROICO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,279,279
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,279,279
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,620,620
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,589,589
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,185,185
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,87,87
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,7016,7016
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,620,620
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,174,174
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,465,465
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,90,90
FILADELFIA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,29,29
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,50,50
GIA-TIM,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,682,682
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
HUACARAJE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,313,313
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,248,248
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,92,92
HUMANATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
