municipality,group,variable,month,7. Días camas ocupadas maternidad,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,99,99
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,46,46
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,5,5
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,8,8
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,15,15
ARAMPAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,153,153
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,40,40
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,53,53
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,7,7
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,86,86
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,27,27
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,24,24
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
CALACOTO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,100,100
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,147,147
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,25,25
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,26,26
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,279,279
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,26,26
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,16,16
CHACARILLA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,66,66
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,7,7
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,91,91
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,22,22
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,34,34
CHIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
CHUA COCANI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,61,61
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,18,18
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,8,8
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,102,102
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,576,576
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4901,4901
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,178,178
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,30,30
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,22,22
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,75,75
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
CORO CORO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
