,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,3,12,3,12,15
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,7,1,7,8
ANZALDO,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,15,18,15,18,33
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,4,0,4,4
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,1,0,1,1
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,1,1,1,2
BETANZOS,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,1,0,1,1
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,9,19,9,19,28
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,0,1,0,1
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,29,80,29,80,109
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,1,0,1,1
CARACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,1,0,1,1
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,11,29,11,29,40
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,3,0,3,3
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,10,29,10,29,39
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,13,0,13,13
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,26,1,26,27
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,30,183,30,183,213
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,127,490,127,490,617
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,4,21,4,21,25
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,4,0,4,4
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,4,23,4,23,27
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,4,0,4,4
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,210,680,210,680,890
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,15,37,15,37,52
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,2,1,2,3
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,29,1,29,30
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,2,1,2,1,3
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,6,0,6,6
IXIAMAS,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,0,1,0,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,2,3,2,3,5
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1094,2254,1094,2254,3348
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,5,6,5,6,11
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,0,1,0,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,1,2,1,2,3
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,0,4,0,4,4
MINEROS,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,4,2,4,2,6
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2019-01-01,2,5,2,5,7
