municipality,group,variable,month,Primer Control Post Parto,TOTAL
ACHACACHI,atencion de partos en servicios,primer control post parto,2023-01-01,28,28
ACHOCALLA,atencion de partos en servicios,primer control post parto,2023-01-01,10,10
AIQUILE,atencion de partos en servicios,primer control post parto,2023-01-01,27,27
ALALAY,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
ALCALA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
ANCORAIMES,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
ANDAMARCA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
ANZALDO,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
APOLO,atencion de partos en servicios,primer control post parto,2023-01-01,12,12
ARAMPAMPA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
ARBIETO,atencion de partos en servicios,primer control post parto,2023-01-01,17,17
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2023-01-01,59,59
ATOCHA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
AYATA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
AYO AYO,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,primer control post parto,2023-01-01,6,6
AZURDUY,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
BATALLAS,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
BAURES,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
BERMEJO,atencion de partos en servicios,primer control post parto,2023-01-01,63,63
BOLIVAR,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
BOYUIBE,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
BUENA VISTA,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
CABEZAS,atencion de partos en servicios,primer control post parto,2023-01-01,20,20
CAIROMA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2023-01-01,6,6
CAJUATA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
CAMARGO,atencion de partos en servicios,primer control post parto,2023-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,primer control post parto,2023-01-01,1,1
CAMIRI,atencion de partos en servicios,primer control post parto,2023-01-01,75,75
CAPINOTA,atencion de partos en servicios,primer control post parto,2023-01-01,12,12
CARACOLLO,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
CARANAVI,atencion de partos en servicios,primer control post parto,2023-01-01,69,69
CARAPARI,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
CARIPUYO,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
CHALLAPATA,atencion de partos en servicios,primer control post parto,2023-01-01,45,45
CHAQUI,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
CHARAGUA,atencion de partos en servicios,primer control post parto,2023-01-01,7,7
CHAYANTA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
CHIMORE,atencion de partos en servicios,primer control post parto,2023-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2023-01-01,18,18
CKOCHAS,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
CLIZA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
COBIJA,atencion de partos en servicios,primer control post parto,2023-01-01,10,10
COCAPATA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
COCHABAMBA,atencion de partos en servicios,primer control post parto,2023-01-01,510,510
COIPASA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2023-01-01,17,17
