municipality,group,variable,month,RN con apego precoz,TOTAL
ACHACACHI,atencion de partos en servicios,rn con apego precoz,2023-01-01,27,27
ACHOCALLA,atencion de partos en servicios,rn con apego precoz,2023-01-01,7,7
AIQUILE,atencion de partos en servicios,rn con apego precoz,2023-01-01,27,27
ALALAY,atencion de partos en servicios,rn con apego precoz,2023-01-01,3,3
ALCALA,atencion de partos en servicios,rn con apego precoz,2023-01-01,2,2
ALTO BENI,atencion de partos en servicios,rn con apego precoz,2023-01-01,5,5
ANCORAIMES,atencion de partos en servicios,rn con apego precoz,2023-01-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con apego precoz,2023-01-01,2,2
ANZALDO,atencion de partos en servicios,rn con apego precoz,2023-01-01,5,5
APOLO,atencion de partos en servicios,rn con apego precoz,2023-01-01,12,12
ARAMPAMPA,atencion de partos en servicios,rn con apego precoz,2023-01-01,1,1
ARANI,atencion de partos en servicios,rn con apego precoz,2023-01-01,3,3
ARBIETO,atencion de partos en servicios,rn con apego precoz,2023-01-01,10,10
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con apego precoz,2023-01-01,28,28
ATOCHA,atencion de partos en servicios,rn con apego precoz,2023-01-01,5,5
AYATA,atencion de partos en servicios,rn con apego precoz,2023-01-01,1,1
AYO AYO,atencion de partos en servicios,rn con apego precoz,2023-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con apego precoz,2023-01-01,15,15
AZURDUY,atencion de partos en servicios,rn con apego precoz,2023-01-01,1,1
BATALLAS,atencion de partos en servicios,rn con apego precoz,2023-01-01,7,7
BAURES,atencion de partos en servicios,rn con apego precoz,2023-01-01,5,5
BERMEJO,atencion de partos en servicios,rn con apego precoz,2023-01-01,29,29
BETANZOS,atencion de partos en servicios,rn con apego precoz,2023-01-01,21,21
BOLIVAR,atencion de partos en servicios,rn con apego precoz,2023-01-01,2,2
BOYUIBE,atencion de partos en servicios,rn con apego precoz,2023-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con apego precoz,2023-01-01,4,4
CABEZAS,atencion de partos en servicios,rn con apego precoz,2023-01-01,20,20
CAIROMA,atencion de partos en servicios,rn con apego precoz,2023-01-01,3,3
"CAIZA ""D""",atencion de partos en servicios,rn con apego precoz,2023-01-01,5,5
CAJUATA,atencion de partos en servicios,rn con apego precoz,2023-01-01,7,7
CALAMARCA,atencion de partos en servicios,rn con apego precoz,2023-01-01,11,11
