municipality,group,variable,month,RN con malformación congénita,TOTAL
CALAMARCA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,4,4
CULPINA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
DESAGUADERO,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,3,3
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,11,11
MINEROS,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
MIZQUE,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,2,2
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,12,12
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,2,2
SAN JULIAN,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
SANTA ANA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,4,4
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,3,3
TARIJA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,2,2
YACUIBA,atencion de partos en servicios,rn con malformacion congenita,2023-01-01,1,1
ACHACACHI,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
BAURES,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,3,3
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,4,4
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
GUTIERREZ,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,16,16
MAPIRI,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
MONTERO,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
PORTACHUELO,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,10,10
SACABA,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
SAMAIPATA,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
SAN BORJA,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,9,9
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,6,6
VIACHA,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
VILLA CHARCAS,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
VILLAZON,atencion de partos en servicios,rn con malformacion congenita,2023-02-01,1,1
BETANZOS,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
CAQUIAVIRI,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,4,4
COBIJA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
CONCEPCION,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
COTAGAITA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,2,2
LA ASUNTA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,5,5
LLALLAGUA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
MINEROS,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
MONTERO,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,12,12
PUNA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,2,2
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,4,4
SACABA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
SAN BORJA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,3,3
SAN JAVIER(STC),atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,2,2
SHINAOTA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,2,2
SOPACHUY,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,2,2
TACACOMA,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
VALLEGRANDE,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
VILLA MONTES,atencion de partos en servicios,rn con malformacion congenita,2023-03-01,1,1
ACHOCALLA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
CAIROMA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
CULPINA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,6,6
LA GUARDIA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,2,2
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,9,9
MONTERO,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,2,2
POOPO,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,9,9
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,9,9
SACABA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,2,2
SAN BORJA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,2,2
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,3,3
TARABUCO,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
TARIJA,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,2,2
VILLA MONTES,atencion de partos en servicios,rn con malformacion congenita,2023-04-01,1,1
ACHACACHI,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
CHALLAPATA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,2,2
COROICO,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,4,4
EUCALIPTUS,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
HUACARETA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
HUARINA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,17,17
LLALLAGUA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
MINEROS,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
MIZQUE,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
MONTERO,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,11,11
PUERTO QUIJARRO,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
PUNATA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,2,2
ROBORE,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,2,2
SACABA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,2,2
SAN BORJA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
SANTA ANA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,3,3
SORATA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
TARIJA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
UYUNI,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
YACUIBA,atencion de partos en servicios,rn con malformacion congenita,2023-05-01,1,1
APOLO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,2,2
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,4,4
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,2,2
CHALLAPATA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
CKOCHAS,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,5,5
CONCEPCION,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,4,4
GUAYARAMERIN,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
HUACARETA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
ICLA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
INCAHUASI,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,13,13
MINEROS,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
MOCOMOCO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,3,3
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,20,20
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,3,3
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,2,2
SACABA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,5,5
SAN IGNACIO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,4,4
SANTA ROSA DEL SARA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
SHINAOTA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
SIPE SIPE,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,2,2
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,4,4
WARNES,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
YACUIBA,atencion de partos en servicios,rn con malformacion congenita,2023-06-01,1,1
APOLO,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,2,2
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,2,2
CHALLAPATA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
COLQUECHACA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,8,8
HUANUNI,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,20,20
ORURO,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
POJO (CBBA),atencion de partos en servicios,rn con malformacion congenita,2023-07-01,2,2
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,15,15
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
SACABA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
SANTA ANA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,2,2
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
TOTORA(CBBA),atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
TUPIZA,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,2,2
VILLA TUNARI,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
VILLAZON,atencion de partos en servicios,rn con malformacion congenita,2023-07-01,1,1
CAPINOTA,atencion de partos en servicios,rn con malformacion congenita,2023-08-01,1,1
