municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,27,27
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,7,7
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,27,27
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,2,2
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,3,3
ANCORAIMES,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
ANDAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,2,2
ANZALDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,12,12
ARAMPAMPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,3,3
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
ATOCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,9,9
AYATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,14,14
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,5,5
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,45,45
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,18,18
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,3,3
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,20,20
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,4,4
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,7,7
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,10,10
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,37,37
CAPINOTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,12,12
CARACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,7,7
CARANAVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,85,85
CARIPUYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
CHALLAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,45,45
CHAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,2,2
CHARAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,24,24
CHAYANTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,16,16
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,5,5
CKOCHAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,3,3
CLIZA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,25,25
COBIJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,89,89
COCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,6,6
COCHABAMBA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1303,1303
COLCAPIRHUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,34,34
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,2,2
COLLANA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,2,2
COLOMI,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,17,17
COLPA BELGICA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,1,1
COLQUECHACA,atencion de partos en servicios,partos atendidos por proveedor calificado,2023-01-01,12,12
