municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-01-01,6.0,6.0
WARNES,atencion de partos en servicios,partos atendidos por partera en servicio,2023-02-01,27.0,27.0
PUNATA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-03-01,2.0,2.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-03-01,8.0,8.0
SAIPINA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-04-01,1.0,1.0
MINEROS,atencion de partos en servicios,partos atendidos por partera en servicio,2023-05-01,7.0,7.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-05-01,7.0,7.0
ACHOCALLA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-06-01,0.0,0.0
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por partera en servicio,2023-06-01,1.0,1.0
EL ALTO,atencion de partos en servicios,partos atendidos por partera en servicio,2023-06-01,3.0,3.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-06-01,8.0,8.0
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2023-08-01,1.0,1.0
SAN MATIAS,atencion de partos en servicios,partos atendidos por partera en servicio,2023-08-01,1.0,1.0
LA PAZ,atencion de partos en servicios,partos atendidos por partera en servicio,2023-10-01,53.0,53.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2023-10-01,1.0,1.0
SAN LORENZO(PND),atencion de partos en servicios,partos atendidos por partera en servicio,2023-11-01,1.0,1.0
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2023-12-01,2.0,2.0
