municipality,group,variable,month,Mujeres con visita de control en las 48 hrs siguientes al parto,TOTAL
ACHACACHI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,28,28
ACHOCALLA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,7,7
AIQUILE,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,27,27
ALALAY,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,2,2
ALCALA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,1,1
ALTO BENI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,5,5
ANDAMARCA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,2,2
ANZALDO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,6,6
APOLO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,12,12
ARAMPAMPA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,1,1
ARANI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,3,3
ARBIETO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,59,59
ATOCHA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,10,10
AYATA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,1,1
AYO AYO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,16,16
AZURDUY,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,1,1
BATALLAS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,7,7
BAURES,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,4,4
BERMEJO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,42,42
BETANZOS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,21,21
BOLIVAR,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,4,4
BOYUIBE,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,3,3
BUENA VISTA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,4,4
CABEZAS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,20,20
CAIROMA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,4,4
"CAIZA ""D""",atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,5,5
CAJUATA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,7,7
CALAMARCA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,11,11
CAMARGO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,1,1
CAMIRI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,36,36
CAPINOTA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,12,12
CAQUIAVIRI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,1,1
CARACOLLO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,7,7
CARANAVI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,91,91
CARAPARI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,2,2
CARIPUYO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,6,6
CHALLAPATA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2023-01-01,45,45
