municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,20,20
DESAGUADERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,11,11
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,7,7
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,11,11
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,3,3
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,23,23
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,3,3
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,6,6
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-01-01,2,2
CHAQUI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
CHIMORE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,6,6
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,22,22
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,7,7
MAPIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,3,3
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,20,20
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,5,5
TARABUCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,3,3
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
