municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,2,2
CLIZA,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,3,3
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,2,2
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,2,2
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,4,4
TIAWANACU,tuberculosis,tratamientos iniciados con esquema lll,2006-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
MIZQUE,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,2,2
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,5,5
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
SENA,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,10,10
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2006-02-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,2,2
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,2,2
HUACHACALLA,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,8,8
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
