municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
ATOCHA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,7,7
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
CABEZAS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
CAJUATA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
CAMARGO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
CAPINOTA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,13,13
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,4,4
CLIZA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,33,33
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,4,4
COLOMI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
COMANCHE,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
CONCEPCION,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
CURAHUARA DE CARANGAS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
DESAGUADERO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,48,48
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,5,5
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
HUANUNI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
ICHOCA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
INCAHUASI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,4,4
INQUISIVI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,5,5
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,5,5
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,84,84
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
LAJA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
LURIBAY,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
MIZQUE,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,5,5
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,7,7
ORURO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,10,10
PAILON,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,5,5
PALCA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
PAZÑA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
POOPO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
POROMA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
PORONGO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
PORTACHUELO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,35,35
