municipality,group,variable,month,Tratamientos iniciados con esquema ll,TOTAL
ARBIETO,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
ATOCHA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
CABEZAS,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
CAMARGO,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
CARAPARI,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,9,9
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
EL PUENTE(TJA),tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,6,6
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
ROBORE,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
SAN BUENA VENTURA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
SAN RAMON,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,14,14
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
TARATA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
TORO TORO,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2006-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,4,4
CHIMORE,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
CLIZA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,6,6
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,5,5
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,2,2
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,5,5
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
OMEREQUE,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
SAN PABLO DE LIPEZ,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,12,12
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,3,3
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
YOTALA,tuberculosis,tratamientos iniciados con esquema ll,2006-02-01,1,1
AIQUILE,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
ATOCHA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,4,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,3,3
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,6,6
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,2,2
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
OKINAWA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,2,2
PORVENIR,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
PUERTO CARABUCO,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,4,4
SAIPINA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
SAN LORENZO(PND),tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,7,7
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
