municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
ACHOCALLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,7,7
AIQUILE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
ANCORAIMES,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,7,7
APOLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
ARQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
AYO AYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
AZURDUY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
BATALLAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,10,10
BETANZOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
BOLIVAR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
CALAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
CARACOLLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
CARANAVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
CARIPUYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
CHARAGUA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CHARAÑA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CHIPAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
COCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
COLQUECHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,10,10
COLQUENCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
COLQUIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
CONCEPCION,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
COPACABANA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CORO CORO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
COTAGAITA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
COTOCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,10,10
CULPINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,7,7
EL CHORO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
HUANUNI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
HUARINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
HUMANATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
INCAHUASI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,7,7
INQUISIVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,11,11
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,7,7
IXIAMAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
LA ASUNTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
LURIBAY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
MALLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
MECAPACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
MOCOMOCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,8,8
MOJOCOYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
OCURI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
ORURO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
PADILLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
PATACAMAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
PELECHUCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
POCOATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
PRESTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
PUCARANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,7,7
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,5,5
PUERTO PEREZ,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
PUNATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
QUIABAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
QUIME,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
RAVELO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
SAN PEDRO DE MACHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,6,6
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
SANTIAGO DE HUATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
SANTIAGO DE MACHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,8,8
SICAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SOPACHUY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
SORACACHI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
SORATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
SUCRE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
TACACOMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,5,5
TAPACARI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,10,10
TARABUCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
TARACO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
TARATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
TEOPONTE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
TIAHUANACU,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,4,4
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,3,3
UMALA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,2,2
UYUNI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2023-01-01,1,1
