municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,17,17
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,2,2
EL TORNO,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2023-01-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,18,18
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,5,5
LAJA,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
OKINAWA,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2023-02-01,1,1
