municipality,group,variable,month,Partos atendidos por otros,TOTAL
APOLO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
CALACOTO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,3,3
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
CHARAGUA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,16,16
COMANCHE,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,12,12
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
ESCOMA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,7,7
LLALLAGUA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,5,5
ORURO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,9,9
PADCAYA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
PORCO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
SAIPINA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,3,3
SANTA ANA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
SANTA ROSA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
SUCRE,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,3,3
TARIJA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,3,3
TIAHUANACU,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
TRINIDAD,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
VILA VILA,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,3,3
VILLA MONTES,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,2,2
VINTO,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,4,4
YAPACANI,atencion de partos en domicilio,partos atendidos por otros,2023-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
CARAPARI,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,5,5
COLOMI,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
COLQUENCHA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,7,7
EL TORNO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
ESCOMA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
FERNANDEZ ALONSO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,5,5
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
MONTERO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,6,6
PORTACHUELO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,4,4
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,4,4
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,7,7
RAVELO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
SACACA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,4,4
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
SANTA ANA,atencion de partos en domicilio,partos atendidos por otros,2023-02-01,1,1
