municipality,group,variable,month,RN con apego precoz,TOTAL
ACHACACHI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,17,17
ACHOCALLA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,7,7
AIQUILE,atencion de partos en domicilio,rn con apego precoz,2023-01-01,6,6
ALALAY,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,rn con apego precoz,2023-01-01,9,9
ANZALDO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,3,3
APOLO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,11,11
ARAMPAMPA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
ARQUE,atencion de partos en domicilio,rn con apego precoz,2023-01-01,8,8
AUCAPATA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,3,3
AYATA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,6,6
AYO AYO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,rn con apego precoz,2023-01-01,9,9
AZURDUY,atencion de partos en domicilio,rn con apego precoz,2023-01-01,5,5
BATALLAS,atencion de partos en domicilio,rn con apego precoz,2023-01-01,18,18
BAURES,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
BETANZOS,atencion de partos en domicilio,rn con apego precoz,2023-01-01,7,7
BOLIVAR,atencion de partos en domicilio,rn con apego precoz,2023-01-01,7,7
CABEZAS,atencion de partos en domicilio,rn con apego precoz,2023-01-01,17,17
CAIROMA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,7,7
"CAIZA ""D""",atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
CALACOTO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,5,5
CALAMARCA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
CAMARGO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,6,6
CARACOLLO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,7,7
CARANAVI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
CARIPUYO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
CHALLAPATA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,6,6
CHAQUI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
CHARAGUA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,12,12
CHARAÑA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,3,3
CHIMORE,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
CHIPAYA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
CHUMA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
CKOCHAS,atencion de partos en domicilio,rn con apego precoz,2023-01-01,13,13
COCAPATA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,7,7
COCHABAMBA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,10,10
"COLCHA ""K""",atencion de partos en domicilio,rn con apego precoz,2023-01-01,8,8
COLQUECHACA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,17,17
COLQUENCHA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
COLQUIRI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,6,6
COMANCHE,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
CONCEPCION,atencion de partos en domicilio,rn con apego precoz,2023-01-01,3,3
COPACABANA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
CORIPATA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
CORO CORO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
COROICO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,8,8
CORQUE,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
COTAGAITA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
COTOCA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,10,10
CULPINA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
CURAHUARA DE CARANGAS,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
EL ALTO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,9,9
EL CHORO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
EL PUENTE(STC),atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
ESCOMA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,rn con apego precoz,2023-01-01,9,9
GUANAY,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
GUAQUI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
HUANUNI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
HUARINA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
HUMANATA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,3,3
ICHOCA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,5,5
INCAHUASI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,10,10
INQUISIVI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,12,12
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,rn con apego precoz,2023-01-01,10,10
IXIAMAS,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,5,5
LA ASUNTA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,8,8
LA GUARDIA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
LA PAZ,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
LAGUNILLAS,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
LAJA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,11,11
LLALLAGUA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
LLICA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
LURIBAY,atencion de partos en domicilio,rn con apego precoz,2023-01-01,3,3
MACHARETI,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
MAGDALENA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,1,1
MALLA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,4,4
MECAPACA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
MIZQUE,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
MOCOMOCO,atencion de partos en domicilio,rn con apego precoz,2023-01-01,13,13
MOJOCOYA,atencion de partos en domicilio,rn con apego precoz,2023-01-01,2,2
