municipality,group,variable,month,RN con malformación congénita,TOTAL
CAQUIAVIRI,atencion de partos en domicilio,rn con malformacion congenita,2023-01-01,1,1
MOJOCOYA,atencion de partos en domicilio,rn con malformacion congenita,2023-01-01,1,1
POCOATA,atencion de partos en domicilio,rn con malformacion congenita,2023-01-01,1,1
TARIJA,atencion de partos en domicilio,rn con malformacion congenita,2023-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,rn con malformacion congenita,2023-01-01,1,1
CHARAGUA,atencion de partos en domicilio,rn con malformacion congenita,2023-02-01,1,1
INCAHUASI,atencion de partos en domicilio,rn con malformacion congenita,2023-02-01,1,1
MAPIRI,atencion de partos en domicilio,rn con malformacion congenita,2023-02-01,1,1
TOTORA(ORR),atencion de partos en domicilio,rn con malformacion congenita,2023-02-01,1,1
CHUMA,atencion de partos en domicilio,rn con malformacion congenita,2023-03-01,1,1
ICHOCA,atencion de partos en domicilio,rn con malformacion congenita,2023-03-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,rn con malformacion congenita,2023-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,rn con malformacion congenita,2023-03-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,rn con malformacion congenita,2023-03-01,1,1
APOLO,atencion de partos en domicilio,rn con malformacion congenita,2023-04-01,1,1
ARQUE,atencion de partos en domicilio,rn con malformacion congenita,2023-04-01,1,1
TACOPAYA,atencion de partos en domicilio,rn con malformacion congenita,2023-04-01,1,1
OKINAWA,atencion de partos en domicilio,rn con malformacion congenita,2023-05-01,1,1
SANTA ANA,atencion de partos en domicilio,rn con malformacion congenita,2023-05-01,1,1
QUILLACOLLO,atencion de partos en domicilio,rn con malformacion congenita,2023-06-01,1,1
TAPACARI,atencion de partos en domicilio,rn con malformacion congenita,2023-06-01,1,1
CARANAVI,atencion de partos en domicilio,rn con malformacion congenita,2023-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con malformacion congenita,2023-07-01,1,1
RAQAYPAMPA(ETA),atencion de partos en domicilio,rn con malformacion congenita,2023-07-01,1,1
HUMANATA,atencion de partos en domicilio,rn con malformacion congenita,2023-08-01,1,1
MONTERO,atencion de partos en domicilio,rn con malformacion congenita,2023-08-01,113,113
SAN LUCAS,atencion de partos en domicilio,rn con malformacion congenita,2023-08-01,1,1
TARVITA,atencion de partos en domicilio,rn con malformacion congenita,2023-08-01,1,1
ACHACACHI,atencion de partos en domicilio,rn con malformacion congenita,2023-09-01,1,1
SAN IGNACIO,atencion de partos en domicilio,rn con malformacion congenita,2023-09-01,1,1
SORATA,atencion de partos en domicilio,rn con malformacion congenita,2023-09-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,rn con malformacion congenita,2023-10-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,rn con malformacion congenita,2023-10-01,1,1
TRINIDAD,atencion de partos en domicilio,rn con malformacion congenita,2023-10-01,1,1
YACO,atencion de partos en domicilio,rn con malformacion congenita,2023-10-01,1,1
CORO CORO,atencion de partos en domicilio,rn con malformacion congenita,2023-11-01,1,1
PALCA,atencion de partos en domicilio,rn con malformacion congenita,2023-11-01,1,1
COLQUENCHA,atencion de partos en domicilio,rn con malformacion congenita,2023-12-01,1,1
CULPINA,atencion de partos en domicilio,rn con malformacion congenita,2023-12-01,1,1
POCOATA,atencion de partos en domicilio,rn con malformacion congenita,2023-12-01,1,1
PUNA,atencion de partos en domicilio,rn con malformacion congenita,2023-12-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,rn con malformacion congenita,2023-12-01,1,1
VITICHI,atencion de partos en domicilio,rn con malformacion congenita,2023-12-01,2,2
