municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CARIPUYO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-02-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-03-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-03-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-04-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-05-01,1,1
MINEROS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-05-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-06-01,2,2
MOCOMOCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-07-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-08-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-08-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-08-01,52,52
SACABA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-08-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-08-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-08-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-09-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-09-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-09-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-10-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-10-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-10-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-10-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-11-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-11-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-11-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-12-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-12-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-12-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2023-12-01,1,1
