municipality,group,variable,month,Nacidos muertos atendidos por otros,TOTAL
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-01-01,1,1
COMANCHE,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-01-01,1,1
PORONGO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-01-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-02-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-02-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-03-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-03-01,1,1
VALLEGRANDE,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-03-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-04-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-04-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-04-01,2,2
CORIPATA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-05-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-05-01,1,1
GUANAY,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-06-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-07-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-07-01,1,1
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-08-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-08-01,1,1
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-09-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-09-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-09-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-09-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-10-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-10-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-10-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-11-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-12-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-12-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2023-12-01,1,1
