municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHOCALLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,2,2
BATALLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
CHIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,2,2
LA ASUNTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,2,2
LA PAZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,3,3
LAJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
PALCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
POCONA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-02-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,2,2
CURVA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,2,2
GUANAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-03-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,2,2
AYO AYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
CATACORA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
COTOCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
SAN RAMON SCZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,2,2
SUCRE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
YACO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-04-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
CHARAÑA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
ICLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,2,2
PELECHUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,2,2
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,2,2
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-05-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,2,2
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
DESAGUADERO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,3,3
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,2,2
TOCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,2,2
YACO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-06-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,3,3
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,2,2
LORETO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,2,2
PUNA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
RAQAYPAMPA(ETA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,3,3
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,2,2
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
URUBICHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
VINTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
COTOCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
MONTERO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,38,38
NAZACARA DE PACAJES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
PALCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
PUERTO SILES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
REYES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
SANTA ROSA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2023-08-01,1,1
