municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,3,3
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,5,5
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
OKINAWA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
PORCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
QUIME,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-02-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
HUMANATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,2,2
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,2,2
PORCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,2,2
RAQAYPAMPA(ETA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,3,3
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
UMALA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,2,2
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-03-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,8,8
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,2,2
CHACARILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2023-04-01,2,2
