municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,11,11
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,6,6
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,7,7
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,6,6
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,4,4
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,8,8
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,4,4
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,6,6
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,5,5
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,11,11
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,4,4
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,7,7
COCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,6,6
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,7,7
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
COPACABANA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,8,8
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,3,3
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2023-01-01,1,1
