municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
DESAGUADERO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
PORONGO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-02-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-03-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-04-01,1,1
HUATAJATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-04-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-04-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-05-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-05-01,1,1
AYO AYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-06-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-07-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-07-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-07-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-07-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-07-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-08-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-08-01,135,135
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-08-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-08-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-08-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-09-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-09-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-09-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-09-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-09-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-10-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-10-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-10-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-11-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-12-01,2,2
AIQUILE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-12-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-12-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-12-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2023-12-01,1,1
