municipality,group,variable,month,Primer Control Post Parto,TOTAL
ACHACACHI,atencion de partos en domicilio,primer control post parto,2023-01-01,15,15
ACHOCALLA,atencion de partos en domicilio,primer control post parto,2023-01-01,3,3
AIQUILE,atencion de partos en domicilio,primer control post parto,2023-01-01,5,5
ALALAY,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,primer control post parto,2023-01-01,8,8
ANZALDO,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
APOLO,atencion de partos en domicilio,primer control post parto,2023-01-01,11,11
AUCAPATA,atencion de partos en domicilio,primer control post parto,2023-01-01,3,3
AYATA,atencion de partos en domicilio,primer control post parto,2023-01-01,6,6
AYO AYO,atencion de partos en domicilio,primer control post parto,2023-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
AZURDUY,atencion de partos en domicilio,primer control post parto,2023-01-01,6,6
BATALLAS,atencion de partos en domicilio,primer control post parto,2023-01-01,3,3
BAURES,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
BOLIVAR,atencion de partos en domicilio,primer control post parto,2023-01-01,4,4
CABEZAS,atencion de partos en domicilio,primer control post parto,2023-01-01,17,17
CAIROMA,atencion de partos en domicilio,primer control post parto,2023-01-01,4,4
CALACOTO,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
CALAMARCA,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
CARACOLLO,atencion de partos en domicilio,primer control post parto,2023-01-01,7,7
CARANAVI,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
CARIPUYO,atencion de partos en domicilio,primer control post parto,2023-01-01,4,4
CHALLAPATA,atencion de partos en domicilio,primer control post parto,2023-01-01,8,8
CHAQUI,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
CHARAGUA,atencion de partos en domicilio,primer control post parto,2023-01-01,7,7
CHAYANTA,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
CHIMORE,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
CHUMA,atencion de partos en domicilio,primer control post parto,2023-01-01,5,5
CKOCHAS,atencion de partos en domicilio,primer control post parto,2023-01-01,13,13
COBIJA,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
COCAPATA,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
COIPASA,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,primer control post parto,2023-01-01,8,8
COLOMI,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,primer control post parto,2023-01-01,17,17
COLQUENCHA,atencion de partos en domicilio,primer control post parto,2023-01-01,4,4
COMANCHE,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
CONCEPCION,atencion de partos en domicilio,primer control post parto,2023-01-01,3,3
CORO CORO,atencion de partos en domicilio,primer control post parto,2023-01-01,4,4
COROICO,atencion de partos en domicilio,primer control post parto,2023-01-01,5,5
CORQUE,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
COTAGAITA,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
COTOCA,atencion de partos en domicilio,primer control post parto,2023-01-01,6,6
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
CUEVO,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
CULPINA,atencion de partos en domicilio,primer control post parto,2023-01-01,4,4
CURAHUARA DE CARANGAS,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
EL ALTO,atencion de partos en domicilio,primer control post parto,2023-01-01,13,13
EL CHORO,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
EL PUENTE(STC),atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
EL TORNO,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,primer control post parto,2023-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,primer control post parto,2023-01-01,9,9
GUAQUI,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,primer control post parto,2023-01-01,5,5
HUARINA,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
HUMANATA,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
ICHOCA,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
INCAHUASI,atencion de partos en domicilio,primer control post parto,2023-01-01,8,8
INQUISIVI,atencion de partos en domicilio,primer control post parto,2023-01-01,7,7
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
IXIAMAS,atencion de partos en domicilio,primer control post parto,2023-01-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,primer control post parto,2023-01-01,1,1
