municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
AYO AYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-01-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-01-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2023-01-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-01-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-02-01,1,1
QUIME,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-02-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,2,2
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,4,4
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,1,1
YUNCHARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-03-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-04-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-04-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-04-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,1,1
WARNES,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-05-01,1,1
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,0,0
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,10,10
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2023-06-01,4,4
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-07-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-07-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-07-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-07-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-07-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-07-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-08-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-08-01,1,1
COLQUIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2023-08-01,1,1
