,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ANCORAIMES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,4,0,4,0,4
ARBIETO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,3,0,3,0,3
AYATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,5,0,5,0,5
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,8,0,8,0,8
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
CABEZAS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,5,0,5,0,5
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,7,0,7,0,7
CAPINOTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,3,0,3,0,3
CARIPUYO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,0,4,0,4,4
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,2,0,2,0,2
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,3,40,3,40,43
COLPA BELGICA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,4,0,4,0,4
COROICO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,3,1,3,1,4
CUATRO CAÑADAS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,5,0,5,0,5
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,66,93,66,93,159
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,15,3,15,3,18
ENTRE RIOS CBBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,73,0,73,0,73
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,2,0,2,0,2
HUARACAJE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,26,0,26,0,26
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,471,13,471,13,484
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,15,0,15,0,15
MORO MORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
OCURI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,27,11,27,11,38
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,35,0,35,0,35
PASORAPA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
POROMA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,8,0,8,0,8
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,17,0,17,0,17
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,20,0,20,0,20
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,13,0,13,0,13
PUERTO ACOSTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,6,0,6,0,6
SACABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,6,0,6,0,6
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,8,0,8,0,8
SAN CARLOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,10,0,10,0,10
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,12,0,12,0,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,12,0,12,0,12
SANTA ROSA DEL SARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,2,0,2,0,2
SANTIAGO DE HUATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,2,0,2,0,2
SENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,8,0,8,0,8
SICAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,7,0,7,0,7
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,27,0,27,0,27
TACACOMA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,5,0,5,0,5
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,53,0,53,0,53
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,51,0,51,0,51
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,17,89,17,89,106
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
VIACHA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,29,0,29,0,29
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,9,0,9,0,9
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,17,0,17,0,17
VILLAZON,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
WARNES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,0,37,0,37,37
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,13,0,13,0,13
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,24,0,24,0,24
YOCALLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,5,0,5,0,5
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-01-01,1,0,1,0,1
ANCORAIMES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,9,0,9,0,9
ARBIETO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,4,0,4,0,4
ARQUE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,1,0,1,0,1
ATOCHA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,2,87,2,87,89
AYATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,2,20,2,20,22
AZURDUY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,53,0,53,0,53
BAURES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,19,0,19,0,19
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,56,0,56,0,56
BETANZOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,11,0,11,0,11
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,1,0,1,0,1
BOYUIBE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,8,0,8,0,8
CABEZAS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,25,0,25,0,25
"CAIZA ""D""",otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,2,0,2,0,2
CAMARGO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,4,0,4,0,4
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,108,9,108,9,117
CAPINOTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,18,0,18,0,18
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,15,0,15,0,15
CARIPUYO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,21,27,21,27,48
CHALLAPATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,0,4,0,4,4
CHARAGUA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,56,5,56,5,61
CHUMA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,5,0,5,0,5
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,13,0,13,0,13
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,68,36,68,36,104
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,89,0,89,0,89
"COLCHA ""K""",otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,5,0,5,0,5
COMANCHE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,6,0,6,0,6
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,1,0,1,0,1
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,89,0,89,0,89
CUATRO CAÑADAS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,19,0,19,0,19
CUEVO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,1,0,1,0,1
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,78,8,78,8,86
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2013-02-01,12,0,12,0,12
