,group,variable,month,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,23,13,23,13,36
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,11,3,11,3,14
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,20,11,20,11,31
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,22,4,22,4,26
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,13,0,13,0,13
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,1,1,1,2
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,21,3,21,24
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,4,5,4,9
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,12,1,12,1,13
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,43,32,43,32,75
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,4,2,4,6
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,69,3,69,3,72
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
AUCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,10,0,10,10
AYATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,21,47,21,47,68
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,1,1,1,2
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,22,14,22,14,36
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,11,0,11,0,11
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,70,14,70,14,84
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,21,35,21,35,56
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
BOLPEBRA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,3,0,3,3
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,18,0,18,0,18
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,3,0,3,3
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,9,2,9,2,11
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,8,2,8,10
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,6,1,6,1,7
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,0,7,0,7
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,1,1,1,2
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,24,0,24,0,24
CAQUIAVIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,22,3,22,3,25
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,18,12,18,12,30
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,29,5,29,5,34
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,12,0,12,12
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,73,4,73,4,77
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,8,3,8,3,11
CHARAÑA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,2,1,2,3
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,46,12,46,12,58
CHIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,6,4,6,4,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,2,4,2,6
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,3,3,3,6
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,35,47,35,47,82
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,186,52,186,52,238
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,8,1,8,9
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,917,222,917,222,1139
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,47,80,47,80,127
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,15,0,15,0,15
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,12,0,12,0,12
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,10,41,10,41,51
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,14,0,14,0,14
COMANCHE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,2,2,2,4
COMBAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,5,0,5,5
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,19,2,19,2,21
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,3,1,3,4
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,4,3,4,7
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,11,0,11,0,11
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,0,7,0,7
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,16,20,16,20,36
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,108,70,108,70,178
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,39,17,39,17,56
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,11,1,11,1,12
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,21,15,21,15,36
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1137,84,1137,84,1221
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,0,4,0,4
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,12,25,12,25,37
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,77,100,77,100,177
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,16,1,16,1,17
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,59,38,59,38,97
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,6,8,6,8,14
EXALTACION,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,1,5,1,6
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,0,4,0,4
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,12,4,12,16
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,6,0,6,6
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,70,4,70,4,74
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,12,3,12,3,15
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
