,group,variable,month,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,8,2,8,2,10
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,2,3,2,5
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,10,3,10,3,13
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,23,1,23,1,24
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,10,0,10,0,10
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,1,2,1,3
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,13,3,13,16
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,18,0,18,18
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,11,1,11,1,12
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,12,9,12,9,21
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,2,1,2,3
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,33,3,33,3,36
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,8,15,8,15,23
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,12,6,12,6,18
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,17,0,17,0,17
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,49,16,49,16,65
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,32,7,32,39
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,2,2,2,4
BOLPEBRA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,3,1,3,4
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,8,5,8,5,13
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,8,0,8,8
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,1,5,1,6
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,4,6,4,10
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,35,0,35,0,35
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,10,6,10,16
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,14,7,14,7,21
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,18,0,18,0,18
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,5,0,5,5
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,34,9,34,9,43
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,2,4,2,6
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,1,0,1,1
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,26,1,26,1,27
CHIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,2,4,2,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,4,2,4,6
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,41,20,41,20,61
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,80,35,80,35,115
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,1,1,1,2
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,537,58,537,58,595
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,65,45,65,45,110
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
COLLANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,24,7,24,7,31
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,10,10,10,10,20
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,0,4,0,4
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
COMANCHE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,2,0,2,2
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,32,6,32,6,38
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,7,0,7,7
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,20,4,20,24
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,0,5,0,5
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,8,4,8,4,12
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,97,58,97,58,155
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,14,5,14,5,19
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,1,3,1,4
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,103,4,103,4,107
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1122,107,1122,107,1229
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,0,7,0,7
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,12,5,12,17
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,35,22,35,22,57
EL VILLAR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,13,10,13,10,23
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,3,6,3,9
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,49,27,49,27,76
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,4,6,4,10
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,2,1,2,3
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,2,4,2,6
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,2,3,2,5
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,3,0,3,3
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,76,9,76,9,85
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,4,4,4,8
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,19,11,19,11,30
HUARACAJE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
HUAYLLAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
ICHOCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,2,1,2,3
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,1,1,1,2
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,3,6,3,9
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,10,6,10,16
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,8,14,8,14,22
