,group,variable,month,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,3,0,3,0,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
BOYUIBE,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,8,0,8,0,8
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,8,0,8,0,8
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,27,0,27,0,27
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,5,0,5,0,5
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,55,0,55,0,55
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
COLPA BELGICA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,4,0,4,0,4
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
COROICO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,61,0,61,0,61
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,5,0,5,0,5
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,4,0,4,0,4
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,70,0,70,0,70
MECAPACA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,2,0,2,0,2
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,12,0,12,0,12
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,4,0,4,0,4
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,11,0,11,0,11
PUCARANI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,7,0,7,0,7
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,137,0,137,0,137
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,21,0,21,0,21
TARACO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
TEOPONTE,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,7,0,7,0,7
TIPUANI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,4,0,4,0,4
TORO TORO,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,2,0,2,0,2
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,2,0,2,0,2
UNCIA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,1,1,1,2
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,2,0,2,0,2
WARNES,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,11,2,11,2,13
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,1,0,1,0,1
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2013-01-01,48,0,48,0,48
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,antirrabica humana esquema completo,2013-02-01,0,1,0,1,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,29,0,29,0,29
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,2,0,2,0,2
CARIPUYO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,7,0,7,0,7
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,35,0,35,0,35
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,3,0,3,0,3
COLPA BELGICA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,11,0,11,0,11
CONCEPCION,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,70,0,70,0,70
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,8,0,8,0,8
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,0,1,0,1,1
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,77,0,77,0,77
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,14,0,14,0,14
MORO MORO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,7,0,7,0,7
PUCARANI,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
PUNA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,2,0,2,0,2
SAIPINA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,6,0,6,0,6
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,147,0,147,0,147
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,2,0,2,0,2
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,32,0,32,0,32
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,3,0,3,0,3
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,3,0,3,0,3
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,19,0,19,0,19
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2013-02-01,63,0,63,0,63
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,4,0,4,0,4
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,1,1,1,2
BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,0,1,0,1,1
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,0,15,0,15,15
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,7,0,7,0,7
CAQUIAVIRI,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,0,1,0,1,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,5,0,5,0,5
