,group,variable,month,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,13,0,13,13
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,5,1,5,6
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,7,11,7,11,18
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,7,3,7,3,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,3,5,3,5,8
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,3,0,3,0,3
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,6,2,6,8
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,4,0,4,0,4
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,3,0,3,3
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,6,7,6,7,13
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,7,10,7,10,17
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,60,9,60,9,69
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,10,6,10,6,16
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,5,0,5,0,5
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,4,0,4,0,4
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,2,1,2,3
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,1,1,1,2
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,3,2,3,2,5
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,12,25,12,25,37
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,106,2,106,2,108
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,10,2,10,12
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,10,5,10,5,15
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,2,1,2,3
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,1,2,1,3
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,5,0,5,0,5
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,3,0,3,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,4,1,4,5
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,3,2,3,5
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,19,9,19,9,28
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,128,48,128,48,176
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,10,0,10,10
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
MOJOCOYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,6,1,6,1,7
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,8,1,8,1,9
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,5,0,5,5
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,41,1,41,1,42
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,5,0,5,0,5
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
PAMPA GRANDE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
POJO (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,12,1,12,13
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,9,5,9,5,14
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
PUERTO SILES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,6,2,6,2,8
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,14,0,14,0,14
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,3,5,3,5,8
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,4,0,4,0,4
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SACABA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,13,25,13,25,38
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SAMAIPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,1,1,1,2
