,group,variable,month,MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,16,0,16,16
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,1,2,1,3
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,2,1,2,3
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,4,4,4,4,8
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,0,3,0,3
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,5,4,5,4,9
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,4,7,4,7,11
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,1,0,1,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,1,2,1,3
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,3,0,3,3
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,1,0,1,1
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,4,1,4,5
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,1,0,1,1
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,1,1,1,2
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,5,0,5,0,5
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,5,0,5,0,5
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,0,3,0,3
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,0,3,0,3
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,6,0,6,6
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,1,0,1,1
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,5,3,5,3,8
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,5,0,5,0,5
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,11,7,11,7,18
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,11,2,11,2,13
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,159,112,159,112,271
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,11,13,11,13,24
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,0,3,0,3
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,0,2,0,2
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,0,2,0,2
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,5,3,5,8
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,15,48,15,48,63
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,1,1,1,2
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,0,2,0,2
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,292,8,292,8,300
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,0,3,0,3
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,5,5,5,5,10
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,10,1,10,1,11
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,3,2,3,5
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,12,3,12,3,15
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,3,0,3,3
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,0,3,0,3
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,7,0,7,0,7
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,1,2,1,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,2,3,2,5
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,9,5,9,5,14
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,0,2,0,2
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,3,3,3,6
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,23,8,23,8,31
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,213,78,213,78,291
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,4,10,4,10,14
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,0,3,0,3
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,3,0,3,3
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,8,2,8,2,10
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,4,1,4,1,5
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,19,0,19,0,19
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,0,2,0,2
MOROCHATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,3,1,3,1,4
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,1,1,1,2
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,7,1,7,8
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,69,7,69,7,76
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,1,0,1,1
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,1,1,1,2
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,4,3,4,3,7
POOPO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,1,0,1,0,1
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,6,0,6,6
PORVENIR,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,0,1,0,1,1
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,19,1,19,1,20
PUCARA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2013-01-01,2,1,2,1,3
