,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
ARBIETO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,3,0,3,0,3
ARQUE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
AYATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,3,0,3,0,3
"CAIZA ""D""",otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,6,0,6,0,6
CALACOTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,3,0,3,0,3
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,8,0,8,0,8
CHUMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,8,0,8,0,8
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,4,0,4,0,4
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,0,15,0,15,15
"COLCHA ""K""",otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
COLPA BELGICA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,10,0,10,0,10
COROICO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,16,0,16,0,16
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,8,2,8,2,10
EL VILLAR,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,2,0,2,0,2
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,120,6,120,6,126
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,7,0,7,0,7
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,7,0,7,0,7
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,6,0,6,0,6
MORO MORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,14,0,14,0,14
POROMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,7,0,7,0,7
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,14,0,14,0,14
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,21,0,21,0,21
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,2,0,2,0,2
ROBORE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
SAMAIPATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
SAN AGUSTIN,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,6,0,6,0,6
SAN CARLOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
SAN LORENZO(PND),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,22,0,22,0,22
SICAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,4,0,4,0,4
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,6,0,6,0,6
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,25,0,25,0,25
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,4,0,4,0,4
VACAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,0,2,0,2,2
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,2,0,2,0,2
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,0,1,0,1,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,13,0,13,0,13
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,16,0,16,0,16
YOCALLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-01-01,1,0,1,0,1
ANCORAIMES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,3,0,3,0,3
ARBIETO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,2,0,2,0,2
ARQUE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,4,0,4,0,4
ATOCHA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,0,3,0,3,3
AYATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,4,0,4,0,4
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,10,0,10,0,10
BOYUIBE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,2,0,2,0,2
CABEZAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,4,0,4,0,4
CAMARGO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,30,1,30,1,31
CHARAGUA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,3,1,3,4
CHUMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,4,0,4,0,4
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,11,17,11,17,28
COMARAPA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,5,0,5,0,5
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,12,0,12,0,12
CUATRO CAÑADAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,10,6,10,6,16
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,34,39,34,39,73
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,3,0,3,0,3
ENTRE RIOS CBBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,9,0,9,0,9
ESCOMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,2,0,2,0,2
HUARACAJE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,14,0,14,0,14
ICLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,6,0,6,0,6
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,199,6,199,6,205
LAGUNILLAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,13,0,13,0,13
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,9,0,9,0,9
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,10,0,10,0,10
OCURI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,3,0,3,0,3
OMEREQUE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,5,0,5,0,5
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,17,0,17,0,17
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,2,0,2,0,2
PAILON,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,11,0,11,0,11
PAMPA GRANDE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,54,0,54,0,54
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,6,0,6,0,6
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,7,0,7,0,7
QUIABAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,3,0,3,0,3
SACABAMBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,6,0,6,0,6
SAIPINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,4,0,4,0,4
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,5,0,5,0,5
SAN BUENA VENTURA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,0,2,0,2,2
SAN JULIAN,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,11,0,11,0,11
