,group,variable,month,ANTIRRÁBICA EN HUMANO CANTIDAD,ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,antirrabica en humano,2013-01-01,0,22,0,22,22
AIQUILE,otras vacunaciones,antirrabica en humano,2013-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en humano,2013-01-01,37,0,37,0,37
BERMEJO,otras vacunaciones,antirrabica en humano,2013-01-01,7,0,7,0,7
BOYUIBE,otras vacunaciones,antirrabica en humano,2013-01-01,1,0,1,0,1
CABEZAS,otras vacunaciones,antirrabica en humano,2013-01-01,1,0,1,0,1
CAMIRI,otras vacunaciones,antirrabica en humano,2013-01-01,6,0,6,0,6
CARANAVI,otras vacunaciones,antirrabica en humano,2013-01-01,40,0,40,0,40
CHIMORE,otras vacunaciones,antirrabica en humano,2013-01-01,8,0,8,0,8
COCHABAMBA,otras vacunaciones,antirrabica en humano,2013-01-01,239,0,239,0,239
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2013-01-01,3,0,3,0,3
COLPA BELGICA,otras vacunaciones,antirrabica en humano,2013-01-01,50,0,50,0,50
COMARAPA,otras vacunaciones,antirrabica en humano,2013-01-01,17,5,17,5,22
COROICO,otras vacunaciones,antirrabica en humano,2013-01-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica en humano,2013-01-01,39,0,39,0,39
EL ALTO,otras vacunaciones,antirrabica en humano,2013-01-01,661,0,661,0,661
EL TORNO,otras vacunaciones,antirrabica en humano,2013-01-01,143,0,143,0,143
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2013-01-01,5,0,5,0,5
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en humano,2013-01-01,10,0,10,0,10
HUANUNI,otras vacunaciones,antirrabica en humano,2013-01-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,antirrabica en humano,2013-01-01,57,2,57,2,59
LA PAZ,otras vacunaciones,antirrabica en humano,2013-01-01,213,0,213,0,213
MAIRANA,otras vacunaciones,antirrabica en humano,2013-01-01,7,0,7,0,7
MAPIRI,otras vacunaciones,antirrabica en humano,2013-01-01,7,0,7,0,7
MECAPACA,otras vacunaciones,antirrabica en humano,2013-01-01,2,0,2,0,2
MINEROS,otras vacunaciones,antirrabica en humano,2013-01-01,41,0,41,0,41
MONTERO,otras vacunaciones,antirrabica en humano,2013-01-01,106,0,106,0,106
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2013-01-01,4,0,4,0,4
PORONGO,otras vacunaciones,antirrabica en humano,2013-01-01,15,0,15,0,15
PORTACHUELO,otras vacunaciones,antirrabica en humano,2013-01-01,78,0,78,0,78
POTOSI,otras vacunaciones,antirrabica en humano,2013-01-01,120,0,120,0,120
PUCARANI,otras vacunaciones,antirrabica en humano,2013-01-01,10,0,10,0,10
PUERTO SUAREZ,otras vacunaciones,antirrabica en humano,2013-01-01,7,0,7,0,7
PUNATA,otras vacunaciones,antirrabica en humano,2013-01-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2013-01-01,59,0,59,0,59
QUIRUSILLAS,otras vacunaciones,antirrabica en humano,2013-01-01,12,0,12,0,12
SACABA,otras vacunaciones,antirrabica en humano,2013-01-01,2,0,2,0,2
SAIPINA,otras vacunaciones,antirrabica en humano,2013-01-01,3,0,3,0,3
SAMAIPATA,otras vacunaciones,antirrabica en humano,2013-01-01,5,0,5,0,5
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2013-01-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2013-01-01,27,0,27,0,27
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica en humano,2013-01-01,5,0,5,0,5
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2013-01-01,15,0,15,0,15
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2013-01-01,1988,0,1988,0,1988
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en humano,2013-01-01,5,0,5,0,5
SUCRE,otras vacunaciones,antirrabica en humano,2013-01-01,300,0,300,0,300
TARACO,otras vacunaciones,antirrabica en humano,2013-01-01,3,0,3,0,3
TIPUANI,otras vacunaciones,antirrabica en humano,2013-01-01,9,0,9,0,9
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2013-01-01,4,0,4,0,4
TOLATA,otras vacunaciones,antirrabica en humano,2013-01-01,1,0,1,0,1
TORO TORO,otras vacunaciones,antirrabica en humano,2013-01-01,20,0,20,0,20
TRINIDAD,otras vacunaciones,antirrabica en humano,2013-01-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica en humano,2013-01-01,23,0,23,0,23
UYUNI,otras vacunaciones,antirrabica en humano,2013-01-01,7,0,7,0,7
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2013-01-01,22,0,22,0,22
VIACHA,otras vacunaciones,antirrabica en humano,2013-01-01,57,0,57,0,57
VILLA MONTES,otras vacunaciones,antirrabica en humano,2013-01-01,5,0,5,0,5
VILLA TUNARI,otras vacunaciones,antirrabica en humano,2013-01-01,1,0,1,0,1
VILLAZON,otras vacunaciones,antirrabica en humano,2013-01-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica en humano,2013-01-01,93,19,93,19,112
YACUIBA,otras vacunaciones,antirrabica en humano,2013-01-01,42,0,42,0,42
YAPACANI,otras vacunaciones,antirrabica en humano,2013-01-01,11,0,11,0,11
ACHACACHI,otras vacunaciones,antirrabica en humano,2013-02-01,2,1,2,1,3
ARBIETO,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en humano,2013-02-01,19,0,19,0,19
BUENA VISTA,otras vacunaciones,antirrabica en humano,2013-02-01,11,0,11,0,11
"CAIZA ""D""",otras vacunaciones,antirrabica en humano,2013-02-01,0,10,0,10,10
CAMIRI,otras vacunaciones,antirrabica en humano,2013-02-01,2,0,2,0,2
CAQUIAVIRI,otras vacunaciones,antirrabica en humano,2013-02-01,0,8,0,8,8
CARANAVI,otras vacunaciones,antirrabica en humano,2013-02-01,48,0,48,0,48
CARAPARI,otras vacunaciones,antirrabica en humano,2013-02-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,antirrabica en humano,2013-02-01,3,0,3,0,3
CHAYANTA,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
CLIZA,otras vacunaciones,antirrabica en humano,2013-02-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,antirrabica en humano,2013-02-01,172,5,172,5,177
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2013-02-01,2,0,2,0,2
COLPA BELGICA,otras vacunaciones,antirrabica en humano,2013-02-01,127,0,127,0,127
COMARAPA,otras vacunaciones,antirrabica en humano,2013-02-01,12,0,12,0,12
COTOCA,otras vacunaciones,antirrabica en humano,2013-02-01,46,0,46,0,46
CUATRO CAÑADAS,otras vacunaciones,antirrabica en humano,2013-02-01,4,0,4,0,4
EL ALTO,otras vacunaciones,antirrabica en humano,2013-02-01,883,0,883,0,883
EL PUENTE(STC),otras vacunaciones,antirrabica en humano,2013-02-01,5,0,5,0,5
EL TORNO,otras vacunaciones,antirrabica en humano,2013-02-01,83,0,83,0,83
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2013-02-01,5,0,5,0,5
HUANUNI,otras vacunaciones,antirrabica en humano,2013-02-01,4,0,4,0,4
LA GUARDIA,otras vacunaciones,antirrabica en humano,2013-02-01,71,0,71,0,71
LA PAZ,otras vacunaciones,antirrabica en humano,2013-02-01,199,0,199,0,199
MAIRANA,otras vacunaciones,antirrabica en humano,2013-02-01,10,0,10,0,10
MINEROS,otras vacunaciones,antirrabica en humano,2013-02-01,50,0,50,0,50
MIZQUE,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica en humano,2013-02-01,100,0,100,0,100
MORO MORO,otras vacunaciones,antirrabica en humano,2013-02-01,10,0,10,0,10
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2013-02-01,8,0,8,0,8
PORTACHUELO,otras vacunaciones,antirrabica en humano,2013-02-01,10,0,10,0,10
POTOSI,otras vacunaciones,antirrabica en humano,2013-02-01,68,0,68,0,68
PUCARANI,otras vacunaciones,antirrabica en humano,2013-02-01,3,0,3,0,3
PUERTO SUAREZ,otras vacunaciones,antirrabica en humano,2013-02-01,2,0,2,0,2
PUNA,otras vacunaciones,antirrabica en humano,2013-02-01,10,0,10,0,10
PUNATA,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
SACABA,otras vacunaciones,antirrabica en humano,2013-02-01,8,0,8,0,8
SAIPINA,otras vacunaciones,antirrabica en humano,2013-02-01,8,0,8,0,8
SAN CARLOS,otras vacunaciones,antirrabica en humano,2013-02-01,16,0,16,0,16
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2013-02-01,8,0,8,0,8
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2013-02-01,118,0,118,0,118
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica en humano,2013-02-01,7,0,7,0,7
SAN JULIAN,otras vacunaciones,antirrabica en humano,2013-02-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica en humano,2013-02-01,8,0,8,0,8
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2013-02-01,2211,0,2211,0,2211
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en humano,2013-02-01,5,0,5,0,5
SORACACHI,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica en humano,2013-02-01,375,0,375,0,375
