,group,variable,month,MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,11,0,11,11
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,3,1,3,4
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,5,1,5,6
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,5,9,5,9,14
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,9,0,9,0,9
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,10,22,10,22,32
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,20,1,20,1,21
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,6,13,6,13,19
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,31,0,31,0,31
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,2,0,2,2
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,23,14,23,14,37
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,21,0,21,21
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,4,2,4,2,6
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,2,0,2,2
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,7,1,7,8
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,1,0,1,1
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,8,0,8,0,8
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,4,1,4,5
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,2,1,2,3
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,8,2,8,2,10
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,7,0,7,7
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,3,1,3,1,4
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,8,9,8,9,17
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,3,1,3,4
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,12,13,12,13,25
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,35,38,35,38,73
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,1,0,1,1
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,246,31,246,31,277
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,35,14,35,14,49
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,8,0,8,0,8
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,12,0,12,0,12
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,1,1,1,2
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
COMANCHE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,1,0,1,1
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,3,3,3,3,6
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,1,0,1,1
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,8,7,8,7,15
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,40,73,40,73,113
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,9,3,9,3,12
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,3,0,3,0,3
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,2,1,2,3
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,555,23,555,23,578
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,4,0,4,0,4
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,4,5,4,5,9
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,30,10,30,10,40
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,11,0,11,0,11
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,19,11,19,11,30
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,1,0,1,1
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,3,0,3,3
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,6,0,6,6
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,14,2,14,2,16
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,2,0,2,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,1,0,1,1
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,9,20,9,20,29
HUARACAJE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,4,0,4,0,4
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,4,1,4,5
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,2,0,2,2
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,62,16,62,16,78
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,443,155,443,155,598
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,4,2,4,6
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,0,31,0,31,31
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,5,0,5,0,5
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,1,1,1,2
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,1,0,1,0,1
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,2,0,2,0,2
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,6,0,6,0,6
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2013-01-01,5,0,5,0,5
