municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
CAMIRI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,16,16
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,3,3
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,9,9
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,2,2
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,7,7
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
SAN BENITO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
SAN CARLOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,10,10
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,391,391
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,5,5
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-01-01,23,23
