municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,16,16
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,16,16
ALALAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5,5
ALTO BENI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
ANZALDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,24,24
AYO AYO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
AZURDUY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
BAURES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,14,14
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
BOYUIBE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
CALAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,36,36
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,148,148
CAQUIAVIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,104,104
