municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,18,18
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,7,7
BOYUIBE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,26,26
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,5,5
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,19,19
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,199,199
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,12,12
CUEVO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,15,15
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
GUAQUI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
HUACARETA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,4,4
INQUISIVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,176,176
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,20,20
