municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,1,1
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,49,49
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,24,24
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,38,38
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,7,7
ALTO BENI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,2,2
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,9,9
ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,12,12
ANTEQUERA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,1,1
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,2,2
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,8,8
ARAMPAMPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,2,2
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,7,7
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,22,22
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,37,37
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,263,263
AUCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,5,5
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,1,1
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,25,25
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,10,10
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,36,36
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,5,5
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,6,6
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2018-01-01,85,85
