municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,2,2
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,20,20
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,3,3
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,2,2
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,2,2
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-01-01,32,32
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,2,2
CHIMORE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,2,2
IXIAMAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,3,3
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,24,24
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,5,5
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
VIACHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
YOTALA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-02-01,1,1
BETANZOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,5,5
JESUS DE MACHACA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
LA PAZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,22,22
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
TOMAVE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,35,35
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-03-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,1,1
CABEZAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,2,2
LAJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,69,69
PUERTO SUAREZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,10,10
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,24,24
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-04-01,3,3
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,2,2
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,6,6
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,29,29
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,82,82
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,1,1
VIACHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,19,19
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-05-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,1,1
CULPINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,3,3
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,3,3
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,2,2
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,1,1
