municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,90,90
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,3,3
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,63,63
ALALAY,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,3,3
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,5,5
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,1,1
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,5,5
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,12,12
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,3,3
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,6,6
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,176,176
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,74,74
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,30,30
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,5,5
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,14,14
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,96,96
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,27,27
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,7,7
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,8,8
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,31,31
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,7,7
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,12,12
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,12,12
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,68,68
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,1,1
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,267,267
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,30,30
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,17,17
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,292,292
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,80,80
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,78,78
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,25,25
CHUA COCANI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,67,67
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,3,3
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,73,73
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,514,514
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,7,7
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,5387,5387
COIPASA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,147,147
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,30,30
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,23,23
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,7,7
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,68,68
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,64,64
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,16,16
CORO CORO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,1,1
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,73,73
CORQUE,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,3,3
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,15,15
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,419,419
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,59,59
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
CUEVO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,49,49
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,3841,3841
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,10,10
EL PUENTE(TJA),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,6,6
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,22,22
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,42,42
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,24,24
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,4,4
GUANAY,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,19,19
GUTIERREZ,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,22,22
HUACARAJE,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,1,1
HUACARETA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,13,13
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
HUANUNI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,54,54
HUARINA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,5,5
ICLA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,2,2
INCAHUASI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,7,7
INQUISIVI,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,6,6
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,16,16
IXIAMAS,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,19,19
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,6,6
LA ASUNTA,internaciones dias camas,dias camas ocupadas maternidad,2023-01-01,58,58
