municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,155,155
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,120,120
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,558,558
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,217,217
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,155,155
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,124,124
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,30,30
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,124,124
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,150,150
APOLO,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,124,124
ARANI,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,248,248
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,403,403
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,420,420
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,371,371
AYATA,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,62,62
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2023-01-01,1160,1160
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,496,496
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,31,31
BAURES,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,124,124
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,456,456
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2023-01-01,185,185
