,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2020-01-01,0,0,2,0,4,1,3,1,0,0,11
ACHACACHI,consultas prenatales,repetidas,2020-01-01,1,0,40,2,120,9,20,0,0,0,192
ACHOCALLA,consultas prenatales,repetidas,2020-01-01,0,0,28,0,99,2,19,0,0,0,148
AIQUILE,consultas prenatales,repetidas,2020-01-01,2,0,36,0,105,6,22,2,0,0,173
ALALAY,consultas prenatales,repetidas,2020-01-01,0,0,3,1,5,1,2,0,0,0,12
ALCALA,consultas prenatales,repetidas,2020-01-01,0,0,5,0,3,0,2,0,0,0,10
ALTO BENI,consultas prenatales,repetidas,2020-01-01,0,0,3,0,21,0,6,0,0,0,30
ANCORAIMES,consultas prenatales,repetidas,2020-01-01,0,0,4,0,26,0,2,0,0,0,32
ANDAMARCA,consultas prenatales,repetidas,2020-01-01,0,1,4,0,3,3,0,2,0,0,13
ANTEQUERA,consultas prenatales,repetidas,2020-01-01,0,0,7,0,5,0,1,0,0,0,13
ANZALDO,consultas prenatales,repetidas,2020-01-01,0,0,1,1,14,4,1,0,0,0,21
APOLO,consultas prenatales,repetidas,2020-01-01,1,0,33,2,69,10,13,1,0,0,129
ARAMPAMPA,consultas prenatales,repetidas,2020-01-01,0,0,1,2,0,2,1,2,0,0,8
ARANI,consultas prenatales,repetidas,2020-01-01,1,0,9,0,44,0,5,0,0,0,59
ARBIETO,consultas prenatales,repetidas,2020-01-01,0,0,29,0,85,0,17,0,0,0,131
ARQUE,consultas prenatales,repetidas,2020-01-01,0,0,11,0,23,1,9,1,0,0,45
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2020-01-01,3,0,47,0,145,0,40,0,0,0,235
ATOCHA,consultas prenatales,repetidas,2020-01-01,0,0,11,1,48,0,11,0,0,0,71
AUCAPATA,consultas prenatales,repetidas,2020-01-01,0,0,3,0,9,0,4,0,0,0,16
AYATA,consultas prenatales,repetidas,2020-01-01,0,0,4,0,8,0,3,1,0,0,16
AYO AYO,consultas prenatales,repetidas,2020-01-01,0,0,7,0,14,2,1,0,0,0,24
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2020-01-01,1,0,32,0,70,1,13,0,1,0,118
AZURDUY,consultas prenatales,repetidas,2020-01-01,0,2,11,2,27,12,2,0,0,0,56
BATALLAS,consultas prenatales,repetidas,2020-01-01,0,0,15,2,55,0,10,2,0,0,84
BAURES,consultas prenatales,repetidas,2020-01-01,0,0,4,13,5,0,2,0,0,0,24
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2020-01-01,0,0,0,0,1,1,0,0,0,0,2
BELEN DE URMIRI,consultas prenatales,repetidas,2020-01-01,0,0,0,0,0,1,0,0,0,0,1
BELLA FLOR,consultas prenatales,repetidas,2020-01-01,0,0,2,3,7,5,0,0,0,0,17
BERMEJO,consultas prenatales,repetidas,2020-01-01,2,0,45,0,195,0,50,0,0,0,292
BETANZOS,consultas prenatales,repetidas,2020-01-01,2,0,41,3,66,8,16,2,0,0,138
BOLIVAR,consultas prenatales,repetidas,2020-01-01,0,0,2,2,7,5,1,3,0,0,20
BOLPEBRA,consultas prenatales,repetidas,2020-01-01,0,0,1,0,4,0,0,0,0,0,5
BOYUIBE,consultas prenatales,repetidas,2020-01-01,0,0,3,1,22,4,5,0,0,0,35
BUENA VISTA,consultas prenatales,repetidas,2020-01-01,2,0,20,3,34,2,6,0,0,0,67
CABEZAS,consultas prenatales,repetidas,2020-01-01,1,0,20,0,64,1,5,5,1,0,97
CAIROMA,consultas prenatales,repetidas,2020-01-01,0,0,5,0,25,1,1,1,0,0,33
"CAIZA ""D""",consultas prenatales,repetidas,2020-01-01,1,0,17,1,19,2,3,0,0,0,43
CAJUATA,consultas prenatales,repetidas,2020-01-01,0,0,21,0,51,0,12,0,0,0,84
CALACOTO,consultas prenatales,repetidas,2020-01-01,0,0,2,2,3,5,0,0,0,0,12
