,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,4,1,8,0,4,0,0,0,17
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,0,2,0,2,0,0,0,5
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,4,0,1,1,0,0,6
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,2,1,4,0,0,0,0,0,7
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,4,0,2,0,1,0,0,0,7
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,0,3,0,0,0,0,3
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,1,0,2,0,0,0,3
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,3,0,5,0,2,0,0,0,10
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,0,3,0,1,0,0,0,5
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,5,0,7,0,1,0,0,0,13
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,2,0,4,0,2,0,0,0,8
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,3,0,1,0,1,0,0,0,5
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,2,0,3,0,2,0,0,0,7
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,2,0,2,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,3,0,3,0,3,0,0,0,9
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,1,0,0,1,0,0,2
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,0,6,1,0,1,0,0,9
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,2,0,0,0,0,0,0,3
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,0,0,1,0,0,0,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,15,0,2,0,0,0,17
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,4,1,1,1,3,0,0,0,10
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,1,0,1,1,1,0,0,0,4
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,0,0,3,0,1,1,0,0,5
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2020-01-01,0,0,2,0,3,0,1,0,0,0,6
