,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,1,0,7,0,27,2,4,0,0,0,41
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,4,0,31,0,4,0,0,0,39
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,10,0,18,1,5,0,0,0,34
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,0,0,0,0,2,0,0,0,2
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,2,0,2,0,1,0,0,0,5
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,2,0,5,0,1,0,0,0,8
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,2,0,7,0,0,0,0,0,9
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,0,0,4,0,0,0,0,0,4
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,4,0,10,0,2,0,0,0,16
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,0,1,1,2,0,1,0,0,5
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,2,1,11,0,0,0,0,0,14
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,6,0,23,0,3,0,0,0,32
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,3,0,7,0,3,0,0,0,13
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,3,0,9,0,18,0,4,0,0,0,34
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,6,0,11,0,2,0,0,0,19
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,0,0,2,1,1,0,0,0,4
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,2,0,4,0,1,0,0,0,7
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,4,0,8,0,1,0,0,0,13
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,8,0,14,0,3,1,0,0,26
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,2,0,3,0,0,0,0,0,5
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,6,0,14,0,0,0,0,0,20
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,0,2,3,0,1,0,0,0,6
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,1,0,0,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,1,1,1,4,0,1,0,0,0,8
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,0,0,9,0,38,3,3,0,0,0,53
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2020-01-01,1,0,8,1,16,3,3,3,0,0,35
