,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,3,0,0,1,0,0,5
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,9,0,25,2,2,0,0,0,38
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,7,0,13,0,1,0,0,0,21
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,12,1,2,0,0,0,19
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,1,3,1,0,0,0,0,6
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,2,0,0,0,0,0,3
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,4,0,0,0,0,0,5
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,1,0,0,0,0,2
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,0,0,0,0,0,0,1
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,4,4,1,0,0,0,10
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,10,0,17,3,3,0,0,0,33
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,1,0,1,0,0,0,0,2
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,2,0,0,0,0,0,4
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,6,0,3,0,0,0,11
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,5,0,2,0,0,0,9
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,9,0,39,0,4,0,0,0,52
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,7,1,6,0,1,0,0,0,15
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,3,0,0,0,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,14,0,1,0,0,0,21
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,1,5,3,1,0,0,0,11
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,5,1,27,0,1,0,0,0,34
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,6,4,0,0,0,0,0,11
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,0,3,0,0,0,0,3
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,11,0,37,0,10,0,0,0,59
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,8,0,11,1,1,0,0,0,22
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,1,2,1,0,0,0,0,4
