municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
ANZALDO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
ARANI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
ATOCHA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
BATALLAS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,7,7
BOLIVAR,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,7,7
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,12,12
CARAPARI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
CLIZA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,8,8
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,30,30
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
COROICO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,4,4
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,8,8
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
CUEVO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
CULPINA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
CURAHUARA DE CARANGAS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,49,49
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,10,10
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,4,4
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
