municipality,group,variable,month,Tratamientos iniciados con esquema ll,TOTAL
AZURDUY,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,3,3
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,3,3
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,4,4
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,2,2
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,15,15
MINEROS,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
MIZQUE,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
PORTACHUELO,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,2,2
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,2,2
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
SANTA ANA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,15,15
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2007-01-01,2,2
AZURDUY,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,3,3
CAPINOTA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
CLIZA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,4,4
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,3,3
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,10,10
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
MIZQUE,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
PAPEL PAMPA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,3,3
PORTACHUELO,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,11,11
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
TEOPONTE,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2007-02-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
AZURDUY,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
BETANZOS,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,3,3
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,4,4
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
CHUMA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,4,4
COMBAYA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,4,4
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,4,4
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
MECAPACA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
MIZQUE,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
MOROCHATA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
PALCA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
PORONGO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,16,16
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
VIACHA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,2,2
VINTO,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
YOTALA,tuberculosis,tratamientos iniciados con esquema ll,2007-03-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,2,2
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,5,5
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,10,10
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,3,3
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,9,9
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,2,2
PORONGO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,3,3
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,2,2
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,3,3
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,8,8
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
TOMINA,tuberculosis,tratamientos iniciados con esquema ll,2007-04-01,1,1
