municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,2,2
EL VILLAR,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,9,9
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2007-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,9,9
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,2,2
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2007-02-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,2,2
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,2,2
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,2,2
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,10,10
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,2,2
