,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,4,3,4,3,7
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,3,1,3,1,4
ANZALDO,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,1,0,1,1
APOLO,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,9,18,9,18,27
BELLA FLOR,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,1,0,1,0,1
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,2,2,2,2,4
BETANZOS,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,3,0,3,3
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,4,1,4,1,5
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,8,0,8,0,8
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,13,5,13,5,18
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,2,0,2,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,4,15,4,15,19
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,10,0,10,10
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,4,10,4,10,14
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,1,19,1,19,20
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,65,222,65,222,287
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,30,291,30,291,321
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,2,0,2,2
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,1,3,1,3,4
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,1,0,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,3,15,3,15,18
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,11,11,11,11,22
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,1,0,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,59,460,59,460,519
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,7,21,7,21,28
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,3,7,3,7,10
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,2,21,2,21,23
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,3,3,3,3,6
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,3,3,3,3,6
ICLA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,1,1,1,1,2
INQUISIVI,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,2,0,2,2
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,1,0,1,0,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,1,0,1,0,1
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,263,603,263,603,866
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2015-01-01,0,1,0,1,1
